source,region,comment,sentiment,category
Mystery Shopper,Southeast,I liked how organized the service area was.,Positive,Signage
Mystery Shopper,South,The service was neither good nor bad.,Neutral,Timeliness
Mystery Shopper,Southwest,Very good lighting and felt safe at night.,Positive,Staff
Mystery Shopper,Southeast,Very poor lighting and safety concerns at night.,Negative,Payment
Mystery Shopper,North,No particular complaints or praise.,Neutral,Timeliness
Mystery Shopper,Central,Restroom was locked and not accessible.,Negative,Cleanliness
Mystery Shopper,Pacific,"Everything was in order, fueling process was smooth.",Positive,Timeliness
Mystery Shopper,Southwest,The pump didn’t work correctly and no help was available.,Negative,Cleanliness
Mystery Shopper,Southwest,"Routine visit, nothing remarkable.",Neutral,Fuel Service
Mystery Shopper,Southwest,Station lacked maintenance and signage was confusing.,Negative,Cleanliness
Mystery Shopper,Pacific,Dirty restrooms and slow fueling process.,Negative,Payment
Mystery Shopper,Central,No particular complaints or praise.,Neutral,Staff
Mystery Shopper,Southeast,The service was neither good nor bad.,Neutral,Cleanliness
Mystery Shopper,Southwest,Station lacked maintenance and signage was confusing.,Negative,Timeliness
Mystery Shopper,Northeast,Dirty restrooms and slow fueling process.,Negative,Signage
Mystery Shopper,Southwest,Fueling experience met the basics.,Neutral,Timeliness
Mystery Shopper,Northeast,The cashier was polite and efficient.,Positive,Timeliness
Mystery Shopper,Central,Service was rude and inattentive.,Negative,Payment
Mystery Shopper,Central,The visit was uneventful.,Neutral,Cleanliness
Mystery Shopper,North,It was just an average stop at the station.,Neutral,Cleanliness
Mystery Shopper,Central,Appreciated the quick payment process.,Positive,Cleanliness
Mystery Shopper,Northeast,Restroom was locked and not accessible.,Negative,Cleanliness
Mystery Shopper,North,I had trouble with the payment terminal.,Negative,Signage
Mystery Shopper,North,Fueling experience met the basics.,Neutral,Staff
Mystery Shopper,Southeast,Very poor lighting and safety concerns at night.,Negative,Timeliness
Mystery Shopper,Pacific,"No greeting, unclear instructions from the staff.",Negative,Staff
Mystery Shopper,Southeast,No particular complaints or praise.,Neutral,Payment
Mystery Shopper,North,"Standard visit, no issues noticed.",Neutral,Timeliness
Mystery Shopper,Central,The cashier was polite and efficient.,Positive,Payment
Mystery Shopper,Southwest,"No greeting, unclear instructions from the staff.",Negative,Timeliness
Mystery Shopper,Pacific,Clean station and very helpful attendants.,Positive,Signage
Mystery Shopper,Central,Impressed by how quickly I was served.,Positive,Cleanliness
Mystery Shopper,Southwest,"Standard visit, no issues noticed.",Neutral,Timeliness
Mystery Shopper,North,The visit was uneventful.,Neutral,Payment
Mystery Shopper,Southwest,Appreciated the quick payment process.,Positive,Fuel Service
Mystery Shopper,Northeast,I liked how organized the service area was.,Positive,Fuel Service
Mystery Shopper,Central,Clean station and very helpful attendants.,Positive,Signage
Mystery Shopper,Southeast,No particular complaints or praise.,Neutral,Fuel Service
Mystery Shopper,Pacific,"The experience was okay, nothing special.",Neutral,Signage
Mystery Shopper,Central,Dirty restrooms and slow fueling process.,Negative,Fuel Service
Mystery Shopper,Northeast,The station was understaffed and unclean.,Negative,Cleanliness
Mystery Shopper,North,Impressed by how quickly I was served.,Positive,Payment
Mystery Shopper,Southeast,The service was neither good nor bad.,Neutral,Timeliness
Mystery Shopper,North,The visit was uneventful.,Neutral,Cleanliness
Mystery Shopper,Central,Fueling experience met the basics.,Neutral,Cleanliness
Mystery Shopper,Northeast,Service was rude and inattentive.,Negative,Cleanliness
Mystery Shopper,North,Impressed by how quickly I was served.,Positive,Fuel Service
Mystery Shopper,North,The visit was uneventful.,Neutral,Fuel Service
Mystery Shopper,Southeast,"Everything was in order, fueling process was smooth.",Positive,Cleanliness
Mystery Shopper,Northeast,It was just an average stop at the station.,Neutral,Fuel Service
Mystery Shopper,Pacific,"Routine visit, nothing remarkable.",Neutral,Signage
Mystery Shopper,North,Restroom was locked and not accessible.,Negative,Timeliness
Mystery Shopper,Central,"Everything was as expected, no surprises.",Neutral,Payment
Mystery Shopper,Central,Service was rude and inattentive.,Negative,Signage
Mystery Shopper,Central,"The experience was okay, nothing special.",Neutral,Payment
Mystery Shopper,Northeast,Fueling experience met the basics.,Neutral,Payment
Mystery Shopper,Southwest,The staff was friendly and the service was fast.,Positive,Cleanliness
Mystery Shopper,Southwest,Clean station and very helpful attendants.,Positive,Cleanliness
Mystery Shopper,Southeast,"No greeting, unclear instructions from the staff.",Negative,Cleanliness
Mystery Shopper,Southwest,"No greeting, unclear instructions from the staff.",Negative,Payment
Mystery Shopper,Central,Appreciated the quick payment process.,Positive,Fuel Service
Mystery Shopper,Southwest,Very poor lighting and safety concerns at night.,Negative,Payment
Mystery Shopper,North,It was just an average stop at the station.,Neutral,Signage
Mystery Shopper,North,The station was understaffed and unclean.,Negative,Staff
Mystery Shopper,Pacific,The service was neither good nor bad.,Neutral,Signage
Mystery Shopper,South,The visit was uneventful.,Neutral,Cleanliness
Mystery Shopper,Southwest,I liked how organized the service area was.,Positive,Payment
Mystery Shopper,Southwest,Clean station and very helpful attendants.,Positive,Timeliness
Mystery Shopper,North,Station lacked maintenance and signage was confusing.,Negative,Staff
Mystery Shopper,South,Impressed by how quickly I was served.,Positive,Staff
Mystery Shopper,Northeast,I liked how organized the service area was.,Positive,Payment
Mystery Shopper,Southwest,Station lacked maintenance and signage was confusing.,Negative,Signage
Mystery Shopper,Pacific,The wait was too long and staff was inattentive.,Negative,Payment
Mystery Shopper,North,"Standard visit, no issues noticed.",Neutral,Staff
Mystery Shopper,Pacific,Clean station and very helpful attendants.,Positive,Payment
Mystery Shopper,South,Great overall experience with clear signage.,Positive,Payment
Mystery Shopper,North,The cashier was polite and efficient.,Positive,Signage
Mystery Shopper,Southwest,Station lacked maintenance and signage was confusing.,Negative,Fuel Service
Mystery Shopper,Central,"The experience was okay, nothing special.",Neutral,Signage
Mystery Shopper,Central,It was just an average stop at the station.,Neutral,Cleanliness
Mystery Shopper,Pacific,The service was neither good nor bad.,Neutral,Staff
Mystery Shopper,Southwest,I liked how organized the service area was.,Positive,Signage
Mystery Shopper,Central,Fueling experience met the basics.,Neutral,Cleanliness
Mystery Shopper,Southwest,"Everything was in order, fueling process was smooth.",Positive,Cleanliness
Mystery Shopper,Southwest,All seemed fine but nothing stood out.,Neutral,Timeliness
Mystery Shopper,Central,The service was neither good nor bad.,Neutral,Staff
Mystery Shopper,South,"The experience was okay, nothing special.",Neutral,Timeliness
Mystery Shopper,Pacific,"No greeting, unclear instructions from the staff.",Negative,Cleanliness
Mystery Shopper,Northeast,Fueling experience met the basics.,Neutral,Fuel Service
Mystery Shopper,North,I had trouble with the payment terminal.,Negative,Timeliness
Mystery Shopper,Central,"Pump was clean, and directions were clear.",Positive,Timeliness
Mystery Shopper,Northeast,The station was understaffed and unclean.,Negative,Fuel Service
Mystery Shopper,South,"No greeting, unclear instructions from the staff.",Negative,Timeliness
Mystery Shopper,Southeast,Dirty restrooms and slow fueling process.,Negative,Cleanliness
Mystery Shopper,North,"Everything was as expected, no surprises.",Neutral,Fuel Service
Mystery Shopper,Northeast,It was just an average stop at the station.,Neutral,Timeliness
Mystery Shopper,Pacific,The staff was friendly and the service was fast.,Positive,Timeliness
Mystery Shopper,South,No particular complaints or praise.,Neutral,Cleanliness
Mystery Shopper,Pacific,No particular complaints or praise.,Neutral,Payment
Mystery Shopper,South,Fueling experience met the basics.,Neutral,Cleanliness
Mystery Shopper,North,Great overall experience with clear signage.,Positive,Payment
Mystery Shopper,Central,"The experience was okay, nothing special.",Neutral,Payment
Mystery Shopper,Pacific,No particular complaints or praise.,Neutral,Staff
Mystery Shopper,Southwest,All seemed fine but nothing stood out.,Neutral,Cleanliness
Mystery Shopper,North,All seemed fine but nothing stood out.,Neutral,Staff
Mystery Shopper,Central,"Pump was clean, and directions were clear.",Positive,Payment
Mystery Shopper,South,"No greeting, unclear instructions from the staff.",Negative,Fuel Service
Mystery Shopper,Southwest,The cashier was polite and efficient.,Positive,Staff
Mystery Shopper,Pacific,Dirty restrooms and slow fueling process.,Negative,Staff
Mystery Shopper,Pacific,Station lacked maintenance and signage was confusing.,Negative,Fuel Service
Mystery Shopper,Pacific,"Routine visit, nothing remarkable.",Neutral,Staff
Mystery Shopper,North,I had trouble with the payment terminal.,Negative,Fuel Service
Mystery Shopper,Pacific,The pump didn’t work correctly and no help was available.,Negative,Signage
Mystery Shopper,Southwest,Appreciated the quick payment process.,Positive,Staff
Mystery Shopper,Northeast,Fueling experience met the basics.,Neutral,Cleanliness
Mystery Shopper,North,It was just an average stop at the station.,Neutral,Fuel Service
Mystery Shopper,Pacific,Very poor lighting and safety concerns at night.,Negative,Staff
Mystery Shopper,Southeast,The visit was uneventful.,Neutral,Signage
Mystery Shopper,Southeast,Very good lighting and felt safe at night.,Positive,Signage
Mystery Shopper,South,Clean station and very helpful attendants.,Positive,Payment
Mystery Shopper,South,Very poor lighting and safety concerns at night.,Negative,Cleanliness
Mystery Shopper,North,Great overall experience with clear signage.,Positive,Timeliness
Mystery Shopper,Central,The staff was friendly and the service was fast.,Positive,Timeliness
Mystery Shopper,Northeast,All seemed fine but nothing stood out.,Neutral,Cleanliness
Mystery Shopper,Pacific,"Routine visit, nothing remarkable.",Neutral,Payment
Mystery Shopper,Southeast,"Pump was clean, and directions were clear.",Positive,Fuel Service
Mystery Shopper,Pacific,"Everything was in order, fueling process was smooth.",Positive,Signage
Mystery Shopper,Northeast,Clean station and very helpful attendants.,Positive,Fuel Service
Mystery Shopper,Northeast,"Everything was in order, fueling process was smooth.",Positive,Signage
Mystery Shopper,Central,Restroom was locked and not accessible.,Negative,Payment
Mystery Shopper,Southeast,Clean station and very helpful attendants.,Positive,Timeliness
Mystery Shopper,Southwest,Fueling experience met the basics.,Neutral,Payment
Mystery Shopper,Southwest,The visit was uneventful.,Neutral,Signage
Mystery Shopper,Northeast,The pump didn’t work correctly and no help was available.,Negative,Payment
Mystery Shopper,Pacific,The service was neither good nor bad.,Neutral,Fuel Service
Mystery Shopper,Northeast,It was just an average stop at the station.,Neutral,Timeliness
Mystery Shopper,Northeast,Station lacked maintenance and signage was confusing.,Negative,Payment
Mystery Shopper,South,"Everything was as expected, no surprises.",Neutral,Fuel Service
Mystery Shopper,North,Great overall experience with clear signage.,Positive,Staff
Mystery Shopper,Southwest,No particular complaints or praise.,Neutral,Cleanliness
Mystery Shopper,North,"Everything was in order, fueling process was smooth.",Positive,Fuel Service
Mystery Shopper,Pacific,I had trouble with the payment terminal.,Negative,Timeliness
Mystery Shopper,Southeast,"Pump was clean, and directions were clear.",Positive,Staff
Mystery Shopper,Southeast,Restroom was locked and not accessible.,Negative,Cleanliness
Mystery Shopper,Southeast,"Pump was clean, and directions were clear.",Positive,Payment
Mystery Shopper,Northeast,The wait was too long and staff was inattentive.,Negative,Payment
Mystery Shopper,Central,The visit was uneventful.,Neutral,Staff
Mystery Shopper,Northeast,"Routine visit, nothing remarkable.",Neutral,Fuel Service
Mystery Shopper,Northeast,Service was rude and inattentive.,Negative,Payment
Mystery Shopper,North,I liked how organized the service area was.,Positive,Staff
Mystery Shopper,Central,The visit was uneventful.,Neutral,Fuel Service
Mystery Shopper,Pacific,"Routine visit, nothing remarkable.",Neutral,Timeliness
Mystery Shopper,Southwest,The service was neither good nor bad.,Neutral,Payment
Mystery Shopper,Southwest,"Pump was clean, and directions were clear.",Positive,Payment
Mystery Shopper,Central,The wait was too long and staff was inattentive.,Negative,Signage
Mystery Shopper,Northeast,The service was neither good nor bad.,Neutral,Fuel Service
Mystery Shopper,South,The staff was friendly and the service was fast.,Positive,Fuel Service
Mystery Shopper,Southeast,"Everything was as expected, no surprises.",Neutral,Staff
Mystery Shopper,South,"Routine visit, nothing remarkable.",Neutral,Fuel Service
Mystery Shopper,Southeast,"Standard visit, no issues noticed.",Neutral,Cleanliness
Mystery Shopper,Central,Service was rude and inattentive.,Negative,Staff
Mystery Shopper,Northeast,Clean station and very helpful attendants.,Positive,Signage
Mystery Shopper,North,The staff was friendly and the service was fast.,Positive,Timeliness
Mystery Shopper,North,Appreciated the quick payment process.,Positive,Timeliness
Mystery Shopper,Pacific,I liked how organized the service area was.,Positive,Cleanliness
Mystery Shopper,Southeast,"No greeting, unclear instructions from the staff.",Negative,Signage
Mystery Shopper,North,No particular complaints or praise.,Neutral,Payment
Mystery Shopper,Northeast,Dirty restrooms and slow fueling process.,Negative,Timeliness
Mystery Shopper,Southwest,"Standard visit, no issues noticed.",Neutral,Cleanliness
Mystery Shopper,Pacific,All seemed fine but nothing stood out.,Neutral,Fuel Service
Mystery Shopper,Central,"Everything was as expected, no surprises.",Neutral,Payment
Mystery Shopper,Central,"No greeting, unclear instructions from the staff.",Negative,Signage
Mystery Shopper,Northeast,All seemed fine but nothing stood out.,Neutral,Cleanliness
Mystery Shopper,South,The wait was too long and staff was inattentive.,Negative,Payment
Mystery Shopper,Central,No particular complaints or praise.,Neutral,Payment
Mystery Shopper,Central,The station was understaffed and unclean.,Negative,Fuel Service
Mystery Shopper,Southeast,"Standard visit, no issues noticed.",Neutral,Staff
Mystery Shopper,Pacific,Restroom was locked and not accessible.,Negative,Timeliness
Mystery Shopper,Pacific,The service was neither good nor bad.,Neutral,Payment
Mystery Shopper,Southwest,Station lacked maintenance and signage was confusing.,Negative,Payment
Mystery Shopper,Southeast,The visit was uneventful.,Neutral,Signage
Mystery Shopper,South,Station lacked maintenance and signage was confusing.,Negative,Timeliness
Mystery Shopper,Southeast,Great overall experience with clear signage.,Positive,Timeliness
Mystery Shopper,Southwest,All seemed fine but nothing stood out.,Neutral,Signage
Mystery Shopper,Central,No particular complaints or praise.,Neutral,Fuel Service
Mystery Shopper,Southeast,The service was neither good nor bad.,Neutral,Timeliness
Mystery Shopper,South,It was just an average stop at the station.,Neutral,Staff
Mystery Shopper,Southwest,Station lacked maintenance and signage was confusing.,Negative,Cleanliness
Mystery Shopper,Central,"No greeting, unclear instructions from the staff.",Negative,Timeliness
Mystery Shopper,Southeast,The pump didn’t work correctly and no help was available.,Negative,Payment
Mystery Shopper,Pacific,I liked how organized the service area was.,Positive,Signage
Mystery Shopper,Northeast,The visit was uneventful.,Neutral,Cleanliness
Mystery Shopper,North,Great overall experience with clear signage.,Positive,Fuel Service
Mystery Shopper,South,"No greeting, unclear instructions from the staff.",Negative,Signage
Mystery Shopper,Southeast,The station was understaffed and unclean.,Negative,Payment
Mystery Shopper,Southeast,The station was understaffed and unclean.,Negative,Signage
Mystery Shopper,South,The station was understaffed and unclean.,Negative,Signage
Mystery Shopper,South,It was just an average stop at the station.,Neutral,Staff
Mystery Shopper,Pacific,Clean station and very helpful attendants.,Positive,Timeliness
Mystery Shopper,Pacific,"Standard visit, no issues noticed.",Neutral,Payment
Mystery Shopper,North,I had trouble with the payment terminal.,Negative,Timeliness
Mystery Shopper,South,Restroom was locked and not accessible.,Negative,Signage
Mystery Shopper,Southwest,Service was rude and inattentive.,Negative,Staff
Mystery Shopper,South,Impressed by how quickly I was served.,Positive,Timeliness
Mystery Shopper,South,The service was neither good nor bad.,Neutral,Cleanliness
Mystery Shopper,North,Service was rude and inattentive.,Negative,Staff
Mystery Shopper,Southwest,The staff was friendly and the service was fast.,Positive,Staff
Mystery Shopper,Pacific,I had trouble with the payment terminal.,Negative,Fuel Service
Mystery Shopper,Southwest,The staff was friendly and the service was fast.,Positive,Staff
Mystery Shopper,Southeast,The visit was uneventful.,Neutral,Staff
Mystery Shopper,South,The staff was friendly and the service was fast.,Positive,Fuel Service
Mystery Shopper,Southeast,Clean station and very helpful attendants.,Positive,Fuel Service
Mystery Shopper,Pacific,Appreciated the quick payment process.,Positive,Signage
Mystery Shopper,North,"Everything was in order, fueling process was smooth.",Positive,Payment
Mystery Shopper,North,"Standard visit, no issues noticed.",Neutral,Cleanliness
Mystery Shopper,Southwest,The pump didn’t work correctly and no help was available.,Negative,Payment
Mystery Shopper,Northeast,"No greeting, unclear instructions from the staff.",Negative,Payment
Mystery Shopper,Southeast,The visit was uneventful.,Neutral,Staff
Mystery Shopper,South,The pump didn’t work correctly and no help was available.,Negative,Payment
Mystery Shopper,Southwest,The wait was too long and staff was inattentive.,Negative,Signage
Mystery Shopper,Pacific,Impressed by how quickly I was served.,Positive,Timeliness
Mystery Shopper,North,"Standard visit, no issues noticed.",Neutral,Timeliness
Mystery Shopper,Central,Very good lighting and felt safe at night.,Positive,Timeliness
Mystery Shopper,Southeast,"Pump was clean, and directions were clear.",Positive,Signage
Mystery Shopper,South,Restroom was locked and not accessible.,Negative,Cleanliness
Mystery Shopper,Pacific,Great overall experience with clear signage.,Positive,Staff
Mystery Shopper,Central,Restroom was locked and not accessible.,Negative,Signage
Mystery Shopper,Northeast,Great overall experience with clear signage.,Positive,Signage
Mystery Shopper,Southeast,"No greeting, unclear instructions from the staff.",Negative,Cleanliness
Mystery Shopper,Pacific,"No greeting, unclear instructions from the staff.",Negative,Timeliness
Mystery Shopper,Central,The service was neither good nor bad.,Neutral,Cleanliness
Mystery Shopper,Southwest,Great overall experience with clear signage.,Positive,Signage
Mystery Shopper,Southeast,Station lacked maintenance and signage was confusing.,Negative,Cleanliness
Mystery Shopper,Pacific,It was just an average stop at the station.,Neutral,Fuel Service
Mystery Shopper,Southwest,Fueling experience met the basics.,Neutral,Fuel Service
Mystery Shopper,Southwest,"Standard visit, no issues noticed.",Neutral,Cleanliness
Mystery Shopper,Southwest,No particular complaints or praise.,Neutral,Staff
Mystery Shopper,North,Clean station and very helpful attendants.,Positive,Signage
Mystery Shopper,Central,Very poor lighting and safety concerns at night.,Negative,Signage
Mystery Shopper,Central,All seemed fine but nothing stood out.,Neutral,Timeliness
Mystery Shopper,Pacific,Fueling experience met the basics.,Neutral,Fuel Service
Mystery Shopper,Southwest,The service was neither good nor bad.,Neutral,Fuel Service
Mystery Shopper,Central,Restroom was locked and not accessible.,Negative,Fuel Service
Mystery Shopper,South,"Routine visit, nothing remarkable.",Neutral,Staff
Mystery Shopper,Northeast,Dirty restrooms and slow fueling process.,Negative,Timeliness
Mystery Shopper,Pacific,"Routine visit, nothing remarkable.",Neutral,Fuel Service
Mystery Shopper,Northeast,"Routine visit, nothing remarkable.",Neutral,Payment
Mystery Shopper,Central,I liked how organized the service area was.,Positive,Staff
Mystery Shopper,Central,No particular complaints or praise.,Neutral,Fuel Service
Mystery Shopper,Pacific,The wait was too long and staff was inattentive.,Negative,Payment
Mystery Shopper,Central,"Routine visit, nothing remarkable.",Neutral,Timeliness
Mystery Shopper,Southwest,The station was understaffed and unclean.,Negative,Fuel Service
Mystery Shopper,Northeast,Restroom was locked and not accessible.,Negative,Cleanliness
Mystery Shopper,Southwest,Great overall experience with clear signage.,Positive,Timeliness
Mystery Shopper,Pacific,The visit was uneventful.,Neutral,Fuel Service
Mystery Shopper,Pacific,The staff was friendly and the service was fast.,Positive,Payment
Mystery Shopper,South,"Everything was in order, fueling process was smooth.",Positive,Payment
Mystery Shopper,Southeast,Very good lighting and felt safe at night.,Positive,Cleanliness
Mystery Shopper,Southeast,Clean station and very helpful attendants.,Positive,Cleanliness
Mystery Shopper,Southeast,I had trouble with the payment terminal.,Negative,Signage
Mystery Shopper,Pacific,Fueling experience met the basics.,Neutral,Staff
Mystery Shopper,Southeast,The visit was uneventful.,Neutral,Timeliness
Mystery Shopper,North,Fueling experience met the basics.,Neutral,Fuel Service
Mystery Shopper,Southwest,Appreciated the quick payment process.,Positive,Signage
Mystery Shopper,South,Clean station and very helpful attendants.,Positive,Fuel Service
Mystery Shopper,South,Fueling experience met the basics.,Neutral,Cleanliness
Mystery Shopper,Northeast,It was just an average stop at the station.,Neutral,Payment
Mystery Shopper,Northeast,Restroom was locked and not accessible.,Negative,Timeliness
Mystery Shopper,Southeast,Fueling experience met the basics.,Neutral,Staff
Mystery Shopper,Northeast,Fueling experience met the basics.,Neutral,Payment
Mystery Shopper,South,The visit was uneventful.,Neutral,Timeliness
Mystery Shopper,Southwest,"No greeting, unclear instructions from the staff.",Negative,Fuel Service
Mystery Shopper,Central,"Pump was clean, and directions were clear.",Positive,Staff
Mystery Shopper,Pacific,Restroom was locked and not accessible.,Negative,Fuel Service
Mystery Shopper,Southeast,The service was neither good nor bad.,Neutral,Cleanliness
Mystery Shopper,Southwest,Very good lighting and felt safe at night.,Positive,Staff
Mystery Shopper,Central,I liked how organized the service area was.,Positive,Payment
Mystery Shopper,Pacific,"The experience was okay, nothing special.",Neutral,Timeliness
Mystery Shopper,Central,The service was neither good nor bad.,Neutral,Fuel Service
Mystery Shopper,Southwest,No particular complaints or praise.,Neutral,Signage
Mystery Shopper,Northeast,"Standard visit, no issues noticed.",Neutral,Staff
Mystery Shopper,Southeast,Service was rude and inattentive.,Negative,Staff
Mystery Shopper,Northeast,Restroom was locked and not accessible.,Negative,Payment
Mystery Shopper,Central,Appreciated the quick payment process.,Positive,Timeliness
Mystery Shopper,North,Station lacked maintenance and signage was confusing.,Negative,Signage
Mystery Shopper,Central,"Pump was clean, and directions were clear.",Positive,Signage
Mystery Shopper,Southeast,Dirty restrooms and slow fueling process.,Negative,Timeliness
Mystery Shopper,Central,Station lacked maintenance and signage was confusing.,Negative,Cleanliness
Mystery Shopper,South,"The experience was okay, nothing special.",Neutral,Staff
Mystery Shopper,North,"Routine visit, nothing remarkable.",Neutral,Timeliness
Mystery Shopper,Southwest,The pump didn’t work correctly and no help was available.,Negative,Signage
Mystery Shopper,North,"Everything was in order, fueling process was smooth.",Positive,Cleanliness
Mystery Shopper,Southwest,The pump didn’t work correctly and no help was available.,Negative,Signage
Mystery Shopper,Southwest,I liked how organized the service area was.,Positive,Timeliness
Mystery Shopper,Pacific,I liked how organized the service area was.,Positive,Staff
Mystery Shopper,Pacific,It was just an average stop at the station.,Neutral,Cleanliness
Mystery Shopper,Pacific,It was just an average stop at the station.,Neutral,Payment
Mystery Shopper,Southeast,Clean station and very helpful attendants.,Positive,Staff
Mystery Shopper,Pacific,Station lacked maintenance and signage was confusing.,Negative,Fuel Service
Mystery Shopper,Southeast,Station lacked maintenance and signage was confusing.,Negative,Staff
Mystery Shopper,Northeast,"Pump was clean, and directions were clear.",Positive,Fuel Service
Mystery Shopper,Southeast,Impressed by how quickly I was served.,Positive,Payment
Mystery Shopper,South,All seemed fine but nothing stood out.,Neutral,Signage
Mystery Shopper,Northeast,"The experience was okay, nothing special.",Neutral,Signage
Mystery Shopper,Central,It was just an average stop at the station.,Neutral,Payment
Mystery Shopper,Southwest,The wait was too long and staff was inattentive.,Negative,Signage
Mystery Shopper,Northeast,It was just an average stop at the station.,Neutral,Timeliness
Mystery Shopper,North,The station was understaffed and unclean.,Negative,Signage
Mystery Shopper,South,Appreciated the quick payment process.,Positive,Signage
Mystery Shopper,Pacific,I had trouble with the payment terminal.,Negative,Cleanliness
Mystery Shopper,South,The wait was too long and staff was inattentive.,Negative,Fuel Service
Mystery Shopper,South,Appreciated the quick payment process.,Positive,Signage
Mystery Shopper,South,Clean station and very helpful attendants.,Positive,Staff
Mystery Shopper,North,The pump didn’t work correctly and no help was available.,Negative,Timeliness
Mystery Shopper,South,Very good lighting and felt safe at night.,Positive,Payment
Mystery Shopper,Northeast,Station lacked maintenance and signage was confusing.,Negative,Timeliness
Mystery Shopper,Northeast,The visit was uneventful.,Neutral,Staff
Mystery Shopper,Northeast,The station was understaffed and unclean.,Negative,Cleanliness
Mystery Shopper,North,"Standard visit, no issues noticed.",Neutral,Timeliness
Mystery Shopper,Northeast,The pump didn’t work correctly and no help was available.,Negative,Payment
Mystery Shopper,Northeast,"Standard visit, no issues noticed.",Neutral,Fuel Service
External Customer,Southwest,Great overall experience with clear signage.,Positive,Cleanliness
External Customer,Pacific,No particular complaints or praise.,Neutral,Signage
External Customer,Southwest,Station lacked maintenance and signage was confusing.,Negative,Fuel Service
External Customer,Central,The station was understaffed and unclean.,Negative,Signage
External Customer,Central,I liked how organized the service area was.,Positive,Payment
External Customer,Southwest,The station was understaffed and unclean.,Negative,Timeliness
External Customer,Pacific,Dirty restrooms and slow fueling process.,Negative,Fuel Service
External Customer,Pacific,Station lacked maintenance and signage was confusing.,Negative,Fuel Service
External Customer,Central,"Everything was in order, fueling process was smooth.",Positive,Cleanliness
External Customer,Central,The visit was uneventful.,Neutral,Cleanliness
External Customer,North,Very good lighting and felt safe at night.,Positive,Fuel Service
External Customer,Pacific,No particular complaints or praise.,Neutral,Signage
External Customer,Southeast,Service was rude and inattentive.,Negative,Payment
External Customer,Southeast,I had trouble with the payment terminal.,Negative,Signage
External Customer,Southwest,I liked how organized the service area was.,Positive,Fuel Service
External Customer,Pacific,"The experience was okay, nothing special.",Neutral,Staff
External Customer,Southeast,I liked how organized the service area was.,Positive,Timeliness
External Customer,Pacific,"Standard visit, no issues noticed.",Neutral,Staff
External Customer,Central,The station was understaffed and unclean.,Negative,Fuel Service
External Customer,Central,"Everything was as expected, no surprises.",Neutral,Fuel Service
External Customer,Pacific,Impressed by how quickly I was served.,Positive,Signage
External Customer,Central,The wait was too long and staff was inattentive.,Negative,Staff
External Customer,Northeast,"Everything was in order, fueling process was smooth.",Positive,Payment
External Customer,Northeast,Clean station and very helpful attendants.,Positive,Payment
External Customer,North,Appreciated the quick payment process.,Positive,Timeliness
External Customer,Northeast,The service was neither good nor bad.,Neutral,Payment
External Customer,Northeast,Great overall experience with clear signage.,Positive,Timeliness
External Customer,South,Very good lighting and felt safe at night.,Positive,Timeliness
External Customer,North,The staff was friendly and the service was fast.,Positive,Cleanliness
External Customer,Southwest,"Everything was as expected, no surprises.",Neutral,Staff
External Customer,South,"Everything was in order, fueling process was smooth.",Positive,Cleanliness
